Trials:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,average,,Score,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quickSort_unique:,7.314116001,7.106567621,6.700930595,6.652141809,6.764745951,6.881747246,7.277461767,8.023686647,6.920053959,5.85539031,5.814468384,5.661752224,6.021995783,5.694756269,5.836917639,5.638872147,5.693118095,5.712628603,5.985076189,5.744375229,5.861295938,5.840294123,5.729311705,5.804376125,5.953537226,6.916734695,6.957547665,6.900085926,7.044970036,6.923091888,6.11583519,5.471465826,7.383187532,5.862658978,5.623995543,6.024973631,7.22753787,7.106077194,7.405208826,7.428569555,7.944438457,6.948450089,6.874518871,6.940701246,7.020735502,7.017366648,6.6054461,6.760942459,6.253498554,6.326172829,,6.511476574,,2,
quickSort_1p:,10.44687271,9.72364831,10.9700613,11.63175988,11.51904321,11.41675782,11.44731712,11.01123524,11.20213699,10.29165483,10.59514666,10.83746219,11.66846085,12.37063789,12.01708269,11.53035283,12.1347611,11.03813028,10.97716427,10.76181746,10.70589161,11.40177941,11.65954041,11.61419821,11.70770645,11.07253456,11.42597437,10.76344824,11.51338506,10.60456204,10.58850908,11.30854797,11.36081123,11.14010286,12.88038373,11.94045043,11.70249057,11.45128679,12.27617097,11.76227021,14.54754162,12.5939517,13.91157007,14.09352112,12.69904733,12.58452678,12.76479125,12.81538343,12.16713452,12.03313971,,11.65364311,,4,8
quickSort_20size:,6.737876415,7.048268318,6.888586044,8.882233143,7.316328287,6.979053259,7.709473848,7.354908705,7.621860981,7.723251104,7.505309105,7.043722868,7.370399952,7.090151548,6.98468399,6.978821278,7.079021215,7.74958086,7.051216841,6.9779706,7.063144922,6.987065792,7.393511057,6.973185301,8.621273994,7.619117498,7.095773458,7.121575356,7.178627968,6.483417034,7.404453754,6.889341831,6.799276114,6.82605958,6.940790415,6.789703846,6.845547915,6.830297947,7.123278618,7.809675455,7.710996151,7.027375937,7.313441992,6.533661127,7.177950859,7.823507547,8.318488121,7.716655254,7.668076754,7.658703089,,7.276733861,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modifiedquickSort_unique:,9.290287495,8.64040947,9.472998142,9.053489685,7.714967966,7.55486083,7.302867174,7.425224066,8.421408653,7.474232197,7.35441947,7.43184185,7.467182159,7.522839785,7.659410715,7.970412016,7.501512527,7.573402643,7.411851168,7.477324724,7.520625591,7.337652206,8.859416485,7.873131275,7.844189405,7.792832375,7.722862482,8.463953733,7.833389521,7.800479412,8.684761763,7.585204363,8.045902491,7.991825581,7.770533323,8.500990629,8.974780083,7.39793992,8.531779528,7.707585573,7.492102385,8.016215324,7.813058376,7.784286499,7.493503332,7.547941923,7.503503561,7.663875341,7.746127129,7.486445904,,7.890156765,,3,
modifiedquickSort_1p:,4.894093752,4.819693804,4.812738657,4.64109993,4.756258488,4.629393816,4.84785223,4.731799603,5.28397727,4.752049685,4.837115288,4.788345575,4.835444212,4.849771023,4.883487463,4.71487093,4.927137613,4.864306211,4.716926813,4.936471462,4.910321951,4.849343777,4.696075201,5.037763357,5.032584429,4.746569633,4.758804083,4.771749973,4.869608164,4.730754614,4.785505295,5.214707375,4.749222994,4.835746288,4.720710754,4.897036314,5.100594044,4.787432194,4.797299623,4.770743132,4.903575659,4.818642616,5.952872515,4.821873903,4.977801323,5.288352728,4.935197353,4.832694054,4.87338233,5.002277374,,4.879841537,,2,8
modifiedquickSort_20size:,7.60654521,7.70653367,7.20190239,7.367979765,7.37148571,7.056458235,7.247997999,6.994456768,7.483250618,8.503333807,7.388156414,7.947820902,7.438794613,8.225834846,7.625453949,8.408710718,7.393677235,7.160324574,7.142580748,7.574131966,7.110172272,7.650428772,8.224560738,7.219660044,7.188807487,7.152551413,7.274065256,7.824073315,7.466243267,8.557550669,7.178539276,7.158578873,7.098665476,6.985852718,7.90054369,7.571348906,8.530693531,7.156584024,7.615218878,7.809170961,7.782593489,8.447695971,7.652187824,8.104186535,7.186649799,8.073687077,7.190350056,7.448456287,7.586499214,7.632124662,,7.572463412,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
